----------------------------------------------------------------- CORRECT -----------------------------------------------------------------
               label                   before                    after                  partial                    abses                       ID
                 '7'                    '7\n'                      '7'                        1                      1.0                   263972
                 '7'                    '7\n'                      '7'                        1                      1.0                   263973
                 '7'                    '7\n'                      '7'                        1                      1.0                   263976
                 '7'                    '7\n'                      '7'                        1                      1.0                   263977
                 'x'                 'x\nt\n'                      'x'                        1                        0                   263978
                 '8'                    '8\n'                      '8'                        1                      1.0                   263980
                 'x'                    'x\n'                      'x'                        1                        0                   263982
             '742.2'               '742.2-\n'                  '742.2'                        1                      1.0                   264193
              '-7.0'                '- 7.0\n'                   '-7.0'                        1                      1.0                   264194
                 '7'                    '7\n'                      '7'                        1                      1.0                   264196
                '10'                   '10\n'                     '10'                        1                      1.0                   264197
                '10'                   '10\n'                     '10'                        1                      1.0                   264199
              '16.0'                 '16:0\n'                   '16.0'                        1                      1.0                   264200
              '44.4'                 '44.4\n'                   '44.4'                        1                      1.0                   264201
                 '7'                    '7\n'                      '7'                        1                      1.0                   264204
                '10'                   '10\n'                     '10'                        1                      1.0                   264205
                '10'                   '10\n'                     '10'                        1                      1.0                   264207
              '44.6'                'y 4 6\n'                   '44.6'                        1                      1.0                   264209
                '10'                   '10\n'                     '10'                        1                      1.0                   264213
              '19.3'                '19.31\n'                   '19.3'                        1                      1.0                   264216
               '8.6'                  '8r6\n'                    '8.6'                        1                      1.0                   264218
                 '0'                    '0\n'                      '0'                        1                        0                   264220
                 '3'                    '3\n'                      '3'                        1                      1.0                   264224
                 '9'                    '9\n'                      '9'                        1                      1.0                   264226
                 'x'                    'X\n'                      'x'                        1                        0                   264235
                 'x'                    'x\n'                      'x'                        1                        0                   264239
             '744.2'                '744.2\n'                  '744.2'                        1                      1.0                   264449
                 '7'                    'Z\n'                      '7'                        1                      1.0                   264460
              '20.0'                 '20,0\n'                   '20.0'                        1                      1.0                   264464
              '42.0'                 '42,0\n'                   '42.0'                        1                      1.0                   264465
                 '7'                    '7\n'                      '7'                        1                      1.0                   264468
                 '7'                    '7\n'                      '7'                        1                      1.0                   264476
                '10'                   '10\n'                     '10'                        1                      1.0                   264477
                 '2'                    '2\n'                      '2'                        1                      1.0                   264484
                 '2'                    '2\n'                      '2'                        1                      1.0                   264485
                 '7'                    '7\n'                      '7'                        1                      1.0                   264489
                 'x'                    'x\n'                      'x'                        1                        0                   264491
                '10'                   '10\n'                     '10'                        1                      1.0                   264493
             '740.3'                '740.3\n'                  '740.3'                        1                      1.0                   264705
              '-3.0'                '- 3,0\n'                   '-3.0'                        1                      1.0                   264706
              '14.0'                  '140\n'                   '14.0'                        1                      1.0                   264712
                '10'                   '10\n'                     '10'                        1                      1.0                   264717
              '18.0'                 '+180\n'                   '18.0'                        1                      1.0                   264720
                 '7'                    '7\n'                      '7'                        1                      1.0                   264724
                 '7'                    '7\n'                      '7'                        1                      1.0                   264737
                 'x'                    'X\n'                      'x'                        1                        0                   264739
                 '9'                    '9\n'                      '9'                        1                      1.0                   264741
                 'x'                    'X\n'                      'x'                        1                        0                   264743
                 '6'                    '6\n'                      '6'                        1                      1.0                   264745
                 '3'                   '3.\n'                      '3'                        1                      1.0                   264749
                 'x'                    'x\n'                      'x'                        1                        0                   264751
              '16.0'                 '16,0\n'                   '16.0'                        1                      1.0                   264960
              '-6.5'                '- 6.5\n'                   '-6.5'                        1                      1.0                   264962
                 '7'                    '7\n'                      '7'                        1                      1.0                   264964
                 '7'                   '7.\n'                      '7'                        1                      1.0                   264972
                 '6'                    '6\n'                      '6'                        1                      1.0                   264973
                '10'                   '10\n'                     '10'                        1                      1.0                   264975
              '15.0'               '+\n150\n'                   '15.0'                        1                      1.0                   264976
              '46.0'                 '46,0\n'                   '46.0'                        1                      1.0                   264977
                 '7'                  '7).\n'                      '7'                        1                      1.0                   264980
                '10'                   '10\n'                     '10'                        1                      1.0                   264981
