Timme,Term. Pa Barom.,Barom.,Torraterm.,Vataterm.,slag,mangd,hogre slag,total mangd,Rikning,Beaufort,m/sek.,Sikt,Sjogang
2 fm,,,,,,,,,,,,,
8 fm,+11.0,,-15.6,,7,10,,,,,,,
2 em,+10.0,50.5,-16.3,,7,10,,10,,5,9,9,x
7 em,+9.4,,-15.8,,6,3,,3,,5,9,9,
9 em,,,,,,,,,,3,5,9,x
date,01-01-1927
2 fm,,,,,,,,,,,,,
8 fm,+8.0,,-19.4,,,,2,,,,,,
2 em,+13.0,58.1,-17.0,,,,2,1,,2,3,9,x
7 em,+15.0,58.1,-16.2,,,,1,1,,2,3,9,x
9 em,,,,,,,,,,2,3,9,x
date,01-02-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-03-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-04-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-05-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-06-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-07-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-08-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-09-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-10-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-11-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-12-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-13-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-14-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-15-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-16-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-17-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-18-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-19-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-20-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-21-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-22-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-23-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-24-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-25-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-26-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-27-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-28-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-29-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-30-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,01-31-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-01-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-02-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-03-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-04-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-05-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-06-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-07-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-08-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-09-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-10-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-11-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-12-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-13-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-14-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-15-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-16-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-17-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-18-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-19-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-20-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-21-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-22-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-23-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-24-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-25-1927
2 fm,,,,,,,,,,,,,
8 fm,,,,,,,,,,,,,
2 em,,,,,,,,,,,,,
7 em,,,,,,,,,,,,,
9 em,,,,,,,,,,,,,
date,02-26-1927
2 fm,,,,,,,,,,,,,
